SETUP
Pairs,2
Circle points,8
Ruler length (mm),1.0
Pixels per mm,118.72213830624563
mm per pixel,0.008423028882957652

REQUIREMENTS
Dimension,Mode,Value 1,Value 2
Width (mm),none,,
Height 1 (mm),nominal_tol,1.45,0.05
Height 2 (mm),nominal_tol,1.45,0.05
Conductor spacing (mm),nominal_tol,1.7,0.1
Tab (mm),max,0.3,
Minimum thickness (mm),min,0.35,
Conductor diameter (mm),nominal_tol,0.6,0.006

SUMMARY
Dimension,Min,Max,Average,Requirement,Status
Width (mm),3.1222679113492995,3.1273554003483404,3.12481165584882,-,N/A
Height 1 (mm),1.4290678113121205,1.4643064288037113,1.4466871200579159,1.450 ± 0.050,OK
Height 2 (mm),1.4407668512102743,1.4583006939692327,1.4495337725897535,1.450 ± 0.050,OK
Conductor spacing (mm),1.626832583150818,1.6293332340869835,1.6280829086189006,1.700 ± 0.100,OK
Tab (mm),0.30588867499706046,0.3559946343063332,0.33094165465169684,≤ 0.300,FAIL
Minimum thickness (mm),0.3049064378613953,0.33611837886953916,0.31707377065344683,≥ 0.350,FAIL
Conductor diameter (mm),0.6600034840408252,0.6861465430699109,0.6688887820039952,0.600 ± 0.006,FAIL

LOBE DETAILS
Pair,Side,Outer diameter (mm),Conductor diameter (mm),Minimum thickness (mm),Outer fit RMSE (px),Conductor fit RMSE (px)
1,1,1.4643064288037113,0.6861465430699109,0.33611837886953916,3.8639493419285764,1.2022734435284612
1,2,1.4583006939692327,0.6665197017364546,0.3183504529295008,1.9088349686968134,1.2070098354512198
2,1,1.4290678113121205,0.6628853991687895,0.3089198129533521,3.117552430148227,1.1201898691042593
2,2,1.4407668512102743,0.6600034840408252,0.3049064378613953,1.7198772363844097,0.47321649800465976

PAIR DETAILS
Pair,Width (mm),Height 1 (mm),Height 2 (mm),Conductor spacing (mm),Tab (mm)
Pair 1,3.1273554003483404,1.4643064288037113,1.4583006939692327,1.626832583150818,0.30588867499706046
Pair 2,3.1222679113492995,1.4290678113121205,1.4407668512102743,1.6293332340869835,0.3559946343063332
